iso,year,burned_ha,retrieved_utc
ALB,2006,0,2026-07-30T11:28:45+00:00
ALB,2007,127491,2026-07-30T11:28:45+00:00
ALB,2008,18715,2026-07-30T11:28:45+00:00
ALB,2009,7555,2026-07-30T11:28:45+00:00
ALB,2010,8114,2026-07-30T11:28:45+00:00
ALB,2011,54370,2026-07-30T11:28:45+00:00
ALB,2012,53459,2026-07-30T11:28:45+00:00
ALB,2013,1233,2026-07-30T11:28:45+00:00
ALB,2014,431,2026-07-30T11:28:45+00:00
ALB,2015,3768,2026-07-30T11:28:45+00:00
ALB,2016,5038,2026-07-30T11:28:45+00:00
ALB,2017,41822,2026-07-30T11:28:45+00:00
ALB,2018,3281,2026-07-30T11:28:45+00:00
ALB,2019,11302,2026-07-30T11:28:45+00:00
ALB,2020,19909,2026-07-30T11:28:45+00:00
ALB,2021,28972,2026-07-30T11:28:45+00:00
ALB,2022,17764,2026-07-30T11:28:45+00:00
ALB,2023,5563,2026-07-30T11:28:45+00:00
ALB,2024,46623,2026-07-30T11:28:45+00:00
ALB,2025,59933,2026-07-30T11:28:45+00:00
ALB,2026,731,2026-07-30T11:28:45+00:00
AUT,2006,0,2026-07-30T11:28:45+00:00
AUT,2007,0,2026-07-30T11:28:45+00:00
AUT,2008,0,2026-07-30T11:28:45+00:00
AUT,2009,0,2026-07-30T11:28:45+00:00
AUT,2010,0,2026-07-30T11:28:45+00:00
AUT,2011,0,2026-07-30T11:28:45+00:00
AUT,2012,0,2026-07-30T11:28:45+00:00
AUT,2013,0,2026-07-30T11:28:45+00:00
AUT,2014,0,2026-07-30T11:28:45+00:00
AUT,2015,0,2026-07-30T11:28:45+00:00
AUT,2016,0,2026-07-30T11:28:45+00:00
AUT,2017,0,2026-07-30T11:28:45+00:00
AUT,2018,0,2026-07-30T11:28:45+00:00
AUT,2019,38,2026-07-30T11:28:45+00:00
AUT,2020,168,2026-07-30T11:28:45+00:00
AUT,2021,72,2026-07-30T11:28:45+00:00
AUT,2022,1016,2026-07-30T11:28:45+00:00
AUT,2023,398,2026-07-30T11:28:45+00:00
AUT,2024,0,2026-07-30T11:28:45+00:00
AUT,2025,431,2026-07-30T11:28:45+00:00
AUT,2026,273,2026-07-30T11:28:45+00:00
BEL,2006,0,2026-07-30T11:28:45+00:00
BEL,2007,0,2026-07-30T11:28:45+00:00
BEL,2008,0,2026-07-30T11:28:45+00:00
BEL,2009,0,2026-07-30T11:28:45+00:00
BEL,2010,0,2026-07-30T11:28:45+00:00
BEL,2011,2180,2026-07-30T11:28:45+00:00
BEL,2012,0,2026-07-30T11:28:45+00:00
BEL,2013,0,2026-07-30T11:28:45+00:00
BEL,2014,0,2026-07-30T11:28:45+00:00
BEL,2015,80,2026-07-30T11:28:45+00:00
BEL,2016,54,2026-07-30T11:28:45+00:00
BEL,2017,0,2026-07-30T11:28:45+00:00
BEL,2018,166,2026-07-30T11:28:45+00:00
BEL,2019,287,2026-07-30T11:28:45+00:00
BEL,2020,0,2026-07-30T11:28:45+00:00
BEL,2021,659,2026-07-30T11:28:45+00:00
BEL,2022,382,2026-07-30T11:28:45+00:00
BEL,2023,240,2026-07-30T11:28:45+00:00
BEL,2024,0,2026-07-30T11:28:45+00:00
BEL,2025,668,2026-07-30T11:28:45+00:00
BEL,2026,299,2026-07-30T11:28:45+00:00
BGR,2006,1596,2026-07-30T11:28:45+00:00
BGR,2007,67598,2026-07-30T11:28:45+00:00
BGR,2008,5730,2026-07-30T11:28:45+00:00
BGR,2009,1564,2026-07-30T11:28:45+00:00
BGR,2010,0,2026-07-30T11:28:45+00:00
BGR,2011,11969,2026-07-30T11:28:45+00:00
BGR,2012,16928,2026-07-30T11:28:45+00:00
BGR,2013,2966,2026-07-30T11:28:45+00:00
BGR,2014,0,2026-07-30T11:28:45+00:00
BGR,2015,3346,2026-07-30T11:28:45+00:00
BGR,2016,11483,2026-07-30T11:28:45+00:00
BGR,2017,5214,2026-07-30T11:28:45+00:00
BGR,2018,1973,2026-07-30T11:28:45+00:00
BGR,2019,15503,2026-07-30T11:28:45+00:00
BGR,2020,9179,2026-07-30T11:28:45+00:00
BGR,2021,3688,2026-07-30T11:28:45+00:00
BGR,2022,14579,2026-07-30T11:28:45+00:00
BGR,2023,15845,2026-07-30T11:28:45+00:00
BGR,2024,44745,2026-07-30T11:28:45+00:00
BGR,2025,32752,2026-07-30T11:28:45+00:00
BGR,2026,831,2026-07-30T11:28:45+00:00
BIH,2006,0,2026-07-30T11:28:45+00:00
BIH,2007,56706,2026-07-30T11:28:45+00:00
BIH,2008,6964,2026-07-30T11:28:45+00:00
BIH,2009,181,2026-07-30T11:28:45+00:00
BIH,2010,3349,2026-07-30T11:28:45+00:00
BIH,2011,23397,2026-07-30T11:28:45+00:00
BIH,2012,87688,2026-07-30T11:28:45+00:00
BIH,2013,3459,2026-07-30T11:28:45+00:00
BIH,2014,3203,2026-07-30T11:28:45+00:00
BIH,2015,14989,2026-07-30T11:28:45+00:00
BIH,2016,34485,2026-07-30T11:28:45+00:00
BIH,2017,82852,2026-07-30T10:18:57+00:00
BIH,2018,3113,2026-07-30T11:28:45+00:00
BIH,2019,28634,2026-07-30T11:28:45+00:00
BIH,2020,100107,2026-07-30T11:28:45+00:00
BIH,2021,61628,2026-07-30T11:28:45+00:00
BIH,2022,72899,2026-07-30T11:28:45+00:00
BIH,2023,3211,2026-07-30T11:28:45+00:00
BIH,2024,43571,2026-07-30T11:28:45+00:00
BIH,2025,38112,2026-07-30T11:28:45+00:00
BIH,2026,19020,2026-07-30T11:28:45+00:00
CHE,2006,0,2026-07-30T11:28:45+00:00
CHE,2007,0,2026-07-30T11:28:45+00:00
CHE,2008,0,2026-07-30T11:28:45+00:00
CHE,2009,0,2026-07-30T11:28:45+00:00
CHE,2010,0,2026-07-30T11:28:45+00:00
CHE,2011,74,2026-07-30T11:28:45+00:00
CHE,2012,0,2026-07-30T11:28:45+00:00
CHE,2013,0,2026-07-30T11:28:45+00:00
CHE,2014,0,2026-07-30T11:28:45+00:00
CHE,2015,0,2026-07-30T11:28:45+00:00
CHE,2016,0,2026-07-30T11:28:45+00:00
CHE,2017,0,2026-07-30T11:28:45+00:00
CHE,2018,0,2026-07-30T11:28:45+00:00
CHE,2019,0,2026-07-30T11:28:45+00:00
CHE,2020,0,2026-07-30T11:28:45+00:00
CHE,2021,0,2026-07-30T11:28:45+00:00
CHE,2022,235,2026-07-30T11:28:45+00:00
CHE,2023,68,2026-07-30T11:28:45+00:00
CHE,2024,0,2026-07-30T11:28:45+00:00
CHE,2025,0,2026-07-30T11:28:45+00:00
CHE,2026,0,2026-07-30T11:28:45+00:00
CYP,2006,291,2026-07-30T11:28:45+00:00
CYP,2007,2526,2026-07-30T11:28:45+00:00
CYP,2008,1947,2026-07-30T11:28:45+00:00
CYP,2009,0,2026-07-30T11:28:45+00:00
CYP,2010,1104,2026-07-30T11:28:45+00:00
CYP,2011,939,2026-07-30T11:28:45+00:00
CYP,2012,2349,2026-07-30T11:28:45+00:00
CYP,2013,2834,2026-07-30T11:28:45+00:00
CYP,2014,436,2026-07-30T11:28:45+00:00
CYP,2015,197,2026-07-30T11:28:45+00:00
CYP,2016,2738,2026-07-30T11:28:45+00:00
CYP,2017,652,2026-07-30T11:28:45+00:00
CYP,2018,417,2026-07-30T11:28:45+00:00
CYP,2019,596,2026-07-30T11:28:45+00:00
CYP,2020,3421,2026-07-30T11:28:45+00:00
CYP,2021,6199,2026-07-30T11:28:45+00:00
CYP,2022,2540,2026-07-30T11:28:45+00:00
CYP,2023,1919,2026-07-30T11:28:45+00:00
CYP,2024,3374,2026-07-30T11:28:45+00:00
CYP,2025,13527,2026-07-30T11:28:45+00:00
CYP,2026,291,2026-07-30T11:28:45+00:00
CZE,2006,0,2026-07-30T11:28:45+00:00
CZE,2007,0,2026-07-30T11:28:45+00:00
CZE,2008,0,2026-07-30T11:28:45+00:00
CZE,2009,0,2026-07-30T11:28:45+00:00
CZE,2010,0,2026-07-30T11:28:45+00:00
CZE,2011,0,2026-07-30T11:28:45+00:00
CZE,2012,0,2026-07-30T11:28:45+00:00
CZE,2013,0,2026-07-30T11:28:45+00:00
CZE,2014,0,2026-07-30T11:28:45+00:00
CZE,2015,0,2026-07-30T11:28:45+00:00
CZE,2016,0,2026-07-30T11:28:45+00:00
CZE,2017,145,2026-07-30T11:28:45+00:00
CZE,2018,0,2026-07-30T11:28:45+00:00
CZE,2019,0,2026-07-30T11:28:45+00:00
CZE,2020,0,2026-07-30T11:28:45+00:00
CZE,2021,0,2026-07-30T11:28:45+00:00
CZE,2022,1436,2026-07-30T11:28:45+00:00
CZE,2023,0,2026-07-30T11:28:45+00:00
CZE,2024,0,2026-07-30T11:28:45+00:00
CZE,2025,0,2026-07-30T11:28:45+00:00
CZE,2026,41,2026-07-30T11:28:45+00:00
DEU,2006,0,2026-07-30T11:28:45+00:00
DEU,2007,0,2026-07-30T11:28:45+00:00
DEU,2008,0,2026-07-30T11:28:45+00:00
DEU,2009,0,2026-07-30T11:28:45+00:00
DEU,2010,0,2026-07-30T11:28:45+00:00
DEU,2011,0,2026-07-30T11:28:45+00:00
DEU,2012,0,2026-07-30T11:28:45+00:00
DEU,2013,133,2026-07-30T11:28:45+00:00
DEU,2014,0,2026-07-30T11:28:45+00:00
DEU,2015,105,2026-07-30T11:28:45+00:00
DEU,2016,314,2026-07-30T11:28:45+00:00
DEU,2017,57,2026-07-30T11:28:45+00:00
DEU,2018,3622,2026-07-30T11:28:45+00:00
DEU,2019,2006,2026-07-30T11:28:45+00:00
DEU,2020,314,2026-07-30T11:28:45+00:00
DEU,2021,121,2026-07-30T11:28:45+00:00
DEU,2022,4293,2026-07-30T11:28:45+00:00
DEU,2023,975,2026-07-30T11:28:45+00:00
DEU,2024,826,2026-07-30T11:28:45+00:00
DEU,2025,5475,2026-07-30T11:28:45+00:00
DEU,2026,2170,2026-07-30T11:28:45+00:00
DNK,2006,0,2026-07-30T11:28:45+00:00
DNK,2007,0,2026-07-30T11:28:45+00:00
DNK,2008,0,2026-07-30T11:28:45+00:00
DNK,2009,0,2026-07-30T11:28:45+00:00
DNK,2010,0,2026-07-30T11:28:45+00:00
DNK,2011,0,2026-07-30T11:28:45+00:00
DNK,2012,0,2026-07-30T11:28:45+00:00
DNK,2013,0,2026-07-30T11:28:45+00:00
DNK,2014,0,2026-07-30T11:28:45+00:00
DNK,2015,0,2026-07-30T11:28:45+00:00
DNK,2016,0,2026-07-30T11:28:45+00:00
DNK,2017,131,2026-07-30T11:28:45+00:00
DNK,2018,463,2026-07-30T11:28:45+00:00
DNK,2019,80,2026-07-30T11:28:45+00:00
DNK,2020,0,2026-07-30T11:28:45+00:00
DNK,2021,230,2026-07-30T11:28:45+00:00
DNK,2022,341,2026-07-30T11:28:45+00:00
DNK,2023,134,2026-07-30T11:28:45+00:00
DNK,2024,0,2026-07-30T11:28:45+00:00
DNK,2025,255,2026-07-30T11:28:45+00:00
DNK,2026,70,2026-07-30T11:28:45+00:00
ESP,2006,118368,2026-07-30T11:28:45+00:00
ESP,2007,56539,2026-07-30T11:28:45+00:00
ESP,2008,10073,2026-07-30T11:28:45+00:00
ESP,2009,88845,2026-07-30T11:28:45+00:00
ESP,2010,19770,2026-07-30T11:28:45+00:00
ESP,2011,60060,2026-07-30T11:28:45+00:00
ESP,2012,189376,2026-07-30T11:28:45+00:00
ESP,2013,37069,2026-07-30T11:28:45+00:00
ESP,2014,22001,2026-07-30T11:28:45+00:00
ESP,2015,63560,2026-07-30T11:28:45+00:00
ESP,2016,52138,2026-07-30T11:28:45+00:00
ESP,2017,130925,2026-07-30T11:28:45+00:00
ESP,2018,12060,2026-07-30T11:28:45+00:00
ESP,2019,63853,2026-07-30T11:28:45+00:00
ESP,2020,61099,2026-07-30T11:28:45+00:00
ESP,2021,82092,2026-07-30T11:28:45+00:00
ESP,2022,306555,2026-07-30T11:28:45+00:00
ESP,2023,91220,2026-07-30T11:28:45+00:00
