# Source: HM Land Registry Price Paid Data. Crown copyright and database right 2026.
# Licence: Open Government Licence v3.0 (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/)
# Compiled by Ranking Atlas, ranking-atlas.com
quarter,Old Oak Common_median,Old Oak Common_n,Old Oak Common_index,Birmingham Curzon St_median,Birmingham Curzon St_n,Birmingham Curzon St_index,Crewe_median,Crewe_n,Crewe_index,Manchester Piccadilly_median,Manchester Piccadilly_n,Manchester Piccadilly_index,Manchester Airport_median,Manchester Airport_n,Manchester Airport_index,Staffs corridor_median,Staffs corridor_n,Staffs corridor_index,Toton / East Midlands hub_median,Toton / East Midlands hub_n,Toton / East Midlands hub_index,Sheffield Midland_median,Sheffield Midland_n,Sheffield Midland_index,Leeds_median,Leeds_n,Leeds_index,england_median,england_n,england_index_2012,england_index_2013
Q1 2010,278000,269,84.9,105000,83,88.2,122500,155,103.8,115000,143,104.5,197000,165,106.3,149995,165,93.7,124972,170,94.3,99500,112,102.1,93440,129,96.5,182500,131470,104.3,102.2
Q2 2010,280000,311,85.5,115000,57,96.6,122000,230,103.4,116000,122,105.5,180000,239,97.2,155850,270,97.4,132250,222,99.8,95000,132,97.4,110000,230,113.6,180000,169274,102.9,100.8
Q3 2010,290500,352,88.7,118372,52,99.5,122000,219,103.4,120000,137,109.1,194000,305,104.7,150000,242,93.8,139000,277,104.9,108927,157,111.7,106000,205,109.4,186440,188577,106.5,104.4
Q4 2010,282000,331,86.1,118000,55,99.2,121000,256,102.5,120000,127,109.1,186250,236,100.5,161250,233,100.8,136750,240,103.2,103725,140,106.4,94998,198,98.1,179995,173977,102.9,100.8
Q1 2011,263000,230,80.3,136000,36,114.3,111500,174,94.5,107500,86,97.7,187000,176,100.9,148975,184,93.1,135000,177,101.9,109950,131,112.8,99000,142,102.2,173000,125610,98.9,96.9
Q2 2011,315000,297,96.2,128749,48,108.2,117500,199,99.6,163450,210,148.6,200000,221,108.0,145500,225,90.9,133250,194,100.6,105000,129,107.7,100150,202,103.4,175000,159254,100.0,98.0
Q3 2011,299500,294,91.5,120500,66,101.3,117000,255,99.2,118000,133,107.3,195500,276,105.5,160000,256,100.0,137000,283,103.4,106000,158,108.7,105000,216,108.4,180000,192332,102.9,100.8
Q4 2011,300000,308,91.6,114000,31,95.8,117000,254,99.2,118998,108,108.2,180000,255,97.2,149475,262,93.4,140000,218,105.7,90950,156,93.3,99995,233,103.2,175500,183987,100.3,98.3
Q1 2012,327500,275,100.0,119000,41,100.0,116500,203,98.7,104000,73,94.5,163000,190,88.0,149500,206,93.4,130000,217,98.1,92950,91,95.3,97500,181,100.7,175000,151616,100.0,98.0
Q2 2012,327000,319,99.8,120500,32,101.3,117000,244,99.2,121250,120,110.2,188000,185,101.5,152975,236,95.6,134000,241,101.1,90000,99,92.3,103000,191,106.4,180000,157361,102.9,100.8
Q3 2012,349950,328,106.9,106000,44,89.1,117000,224,99.2,110750,144,100.7,184000,241,99.3,169975,254,106.2,135500,258,102.3,95000,106,97.4,97000,197,100.2,185500,178849,106.0,103.9
Q4 2012,343750,338,105.0,119000,40,100.0,124500,263,105.5,125000,103,113.6,157500,233,85.0,153000,249,95.6,144000,230,108.7,86000,131,88.2,98998,230,102.2,180000,181095,102.9,100.8
Q1 2013,320500,338,97.9,106000,29,89.1,118000,173,100.0,110000,101,100.0,185250,226,100.0,160000,215,100.0,132500,195,100.0,97500,153,100.0,96850,190,100.0,178500,143962,102.0,100.0
Q2 2013,365000,331,111.5,121000,39,101.7,118000,264,100.0,119998,96,109.1,190000,243,102.6,164000,291,102.5,142000,275,107.2,92000,125,94.4,108000,256,111.5,180000,184972,102.9,100.8
Q3 2013,385000,415,117.6,115500,64,97.1,121000,263,102.5,120000,175,109.1,200000,298,108.0,160000,317,100.0,140000,301,105.7,97000,138,99.5,94998,296,98.1,190000,227033,108.6,106.4
Q4 2013,362000,450,110.5,125000,84,105.0,121800,335,103.2,120000,187,109.1,170000,391,91.8,160000,417,100.0,137000,301,103.4,95000,188,97.4,96750,310,99.9,185000,254989,105.7,103.6
Q1 2014,400000,373,122.1,120000,55,100.8,116250,290,98.5,120000,151,109.1,195000,308,105.3,158000,325,98.8,130000,269,98.1,95000,169,97.4,90000,329,92.9,183000,213143,104.6,102.5
Q2 2014,401000,368,122.4,132000,75,110.9,120000,328,101.7,121995,189,110.9,185000,337,99.9,160500,355,100.3,145000,289,109.4,108000,177,110.8,106498,336,110.0,188000,246304,107.4,105.3
Q3 2014,487500,450,148.9,127500,102,107.1,126950,395,107.6,130548,196,118.7,200000,403,108.0,175000,435,109.4,145000,335,109.4,110000,199,112.8,100000,343,103.3,198000,268544,113.1,110.9
Q4 2014,400000,427,122.1,135000,81,113.4,120000,306,101.7,122250,186,111.1,208500,383,112.6,165000,409,103.1,148500,308,112.1,95000,201,97.4,109000,317,112.5,195000,256828,111.4,109.2
Q1 2015,425000,324,129.8,121000,61,101.7,123000,287,104.2,133973,158,121.8,205250,310,110.8,153500,302,95.9,145975,234,110.2,112000,195,114.9,97950,271,101.1,194750,200785,111.3,109.1
Q2 2015,448560,399,137.0,133000,60,111.8,125000,440,105.9,134250,218,122.0,218000,333,117.7,176000,347,110.0,152000,319,114.7,110000,217,112.8,109000,339,112.5,199950,243828,114.3,112.0
Q3 2015,430000,617,131.3,144950,101,121.8,129475,386,109.7,141000,277,128.2,237500,390,128.2,184000,447,115.0,162500,367,122.6,97500,349,100.0,105000,337,108.4,210000,281462,120.0,117.6
